tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7
p__Coprothermobacterota,d__Bacteria,rank_2,p__Coprothermobacterota,Root,r__Root,d__Bacteria,p__Coprothermobacterota,,,,,
c__Coprothermobacteria,p__Coprothermobacterota,rank_3,c__Coprothermobacteria,Root,r__Root,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,,,,
o__Coprothermobacterales,c__Coprothermobacteria,rank_4,o__Coprothermobacterales,Root,r__Root,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,,,
f__Coprothermobacteraceae,o__Coprothermobacterales,rank_5,f__Coprothermobacteraceae,Root,r__Root,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,,
g__Coprothermobacter,f__Coprothermobacteraceae,rank_6,g__Coprothermobacter,Root,r__Root,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,g__Coprothermobacter,
s__Coprothermobacter_proteolyticus,g__Coprothermobacter,rank_7,s__Coprothermobacter_proteolyticus,Root,r__Root,d__Bacteria,p__Coprothermobacterota,c__Coprothermobacteria,o__Coprothermobacterales,f__Coprothermobacteraceae,g__Coprothermobacter,s__Coprothermobacter_proteolyticus
p__Cyanobacteria,d__Bacteria,rank_2,p__Cyanobacteria,Root,r__Root,d__Bacteria,p__Cyanobacteria,,,,,
c__Gloeobacteria,p__Cyanobacteria,rank_3,c__Gloeobacteria,Root,r__Root,d__Bacteria,p__Cyanobacteria,c__Gloeobacteria,,,,
o__Gloeobacterales,c__Gloeobacteria,rank_4,o__Gloeobacterales,Root,r__Root,d__Bacteria,p__Cyanobacteria,c__Gloeobacteria,o__Gloeobacterales,,,
f__Gloeobacteraceae,o__Gloeobacterales,rank_5,f__Gloeobacteraceae,Root,r__Root,d__Bacteria,p__Cyanobacteria,c__Gloeobacteria,o__Gloeobacterales,f__Gloeobacteraceae,,
g__Gloeobacter,f__Gloeobacteraceae,rank_6,g__Gloeobacter,Root,r__Root,d__Bacteria,p__Cyanobacteria,c__Gloeobacteria,o__Gloeobacterales,f__Gloeobacteraceae,g__Gloeobacter,
s__Gloeobacter_violaceus,g__Gloeobacter,rank_7,s__Gloeobacter_violaceus,Root,r__Root,d__Bacteria,p__Cyanobacteria,c__Gloeobacteria,o__Gloeobacterales,f__Gloeobacteraceae,g__Gloeobacter,s__Gloeobacter_violaceus
p__Deferribacteres,d__Bacteria,rank_2,p__Deferribacteres,Root,r__Root,d__Bacteria,p__Deferribacteres,,,,,
c__Deferribacteres,p__Deferribacteres,rank_3,c__Deferribacteres,Root,r__Root,d__Bacteria,p__Deferribacteres,c__Deferribacteres,,,,
o__Deferribacterales,c__Deferribacteres,rank_4,o__Deferribacterales,Root,r__Root,d__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,,,
f__Deferribacteraceae,o__Deferribacterales,rank_5,f__Deferribacteraceae,Root,r__Root,d__Bacteria,p__Deferribacteres,c__Deferribacteres,o__Deferribacterales,f__Deferribacteraceae,,
